"281470723968302","281470723968302","RES","KZ","Kazakhstan","Zhetisu oblysy","Zharkent","JSC Kazakhtelecom","telecom.kz","ISP/MOB","9198","JSC Kazakhtelecom","23","-","-","38"
"281470724006944","281470724006944","RES","KZ","Kazakhstan","Qaraghandy oblysy","Karagandy","JSC Kazakhtelecom","telecom.kz","ISP/MOB","9198","JSC Kazakhtelecom","23","-","-","38"
"281470724053166","281470724053166","RES","KZ","Kazakhstan","Pavlodar oblysy","Aqsu","JSC Kazakhtelecom","telecom.kz","ISP/MOB","9198","JSC Kazakhtelecom","26","-","-","35"
"281470724100117","281470724100117","RES","KZ","Kazakhstan","Zhetisu oblysy","Taldykorgan","JSC Kazakhtelecom","telecom.kz","ISP/MOB","9198","JSC Kazakhtelecom","4","-","-","57"
"281470724122427","281470724122427","RES","KZ","Kazakhstan","Turkistan oblysy","Bayaldyr","JSC Kazakhtelecom","telecom.kz","ISP/MOB","9198","JSC Kazakhtelecom","19","-","-","42"
"281470724161946","281470724161946","RES","KZ","Kazakhstan","Zhetisu oblysy","Sokolovka","For NAT/Almaty","telecom.kz","ISP/MOB","9198","JSC Kazakhtelecom","23","-","-","38"
"281470724198599","281470724198599","RES","KZ","Kazakhstan","Aqtobe oblysy","Aktobe","JSC Kazakhtelecom","telecom.kz","ISP/MOB","9198","JSC Kazakhtelecom","5","-","-","56"
"281470724324623","281470724324623","RES","ES","Spain","Canarias","Las Palmas de Gran Canaria","Telefonica de Espana Sau","telefonica.com","ISP/MOB","3352","Telefonica de Espana S.A.U.","20","-","-","41"
"281470724607031","281470724607031","RES","ES","Spain","Catalunya","el Perello","Telefonica de Espana Sau","telefonica.com","ISP/MOB","3352","Telefonica de Espana S.A.U.","11","-","-","50"
"281470725507755","281470725507755","RES","ES","Spain","Madrid, Comunidad de","Madrid","Vodafone Ono S.A.","ono.es","ISP/MOB","12430","Vodafone Espana S.A.U.","14","-","-","47"
"281470728176919","281470728176919","RES","IT","Italy","Puglia","Bari","Telecom Italia Mobile","tim.it","ISP/MOB","16232","Telecom Italia S.p.A.","7","-","-","54"
"281470728638616","281470728638616","RES","DE","Germany","Berlin","Berlin","Vodafone GmbH","vodafone.de","MOB","3209","Vodafone GmbH","2","-","-","59"
"281470728887485","281470728887485","RES","DE","Germany","Berlin","Berlin","Vodafone GmbH","vodafone.de","MOB","3209","Vodafone GmbH","22","-","-","39"
"281470728924000","281470728924015","DCH","DE","Germany","Mecklenburg-Vorpommern","Graal","IFA Hotel und Touristik AG","vodafone-ip.de","DCH","3209","Vodafone GmbH","1","-","-","3"
